parking,rooms,info_card_type,bathrooms,balcony,title,floor,terrace,link,price,elevator,surface,heating,swimming_pool,air_conditioner
,3 habs.,re-CardPackAdvance-info,2 baños,,Piso en venta en Barri del Mar,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-ascensor-parking-no-amueblado/177266868/d?from=list,378.000 €,Ascensor,95 m²,,,
,3 habs.,re-CardPackAdvance-info,2 baños,,Casa o chalet en venta en Barri del Mar,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-parking-terraza-no-amueblado/176246111/d?from=list,420.000 €,,153 m²,,,
,7 habs.,re-CardPackAdvance-info,2 baños,Balcón,Casa o chalet en venta en Centre Vila,,,/es/comprar/vivienda/vilanova-i-la-geltru/patio/176739273/d?from=list,320.000 €,,231 m²,,,
,6 habs.,re-CardPackAdvance-info,2 baños,,Casa o chalet en venta en Molí de Vent,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-jardin-terraza/165477560/d?from=list,415.000 €,,193 m²,,,
,1 hab.,re-CardPackAdvance-info,1 baño,,Piso en venta en La Geltrú - Sant Jordi,,,/es/comprar/vivienda/vilanova-i-la-geltru/terraza-zona-comunitaria-ascensor-piscina/164338439/d?from=list,179.000 €,Ascensor,40 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Rambla Salvador Sama, Sant Joan",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-terraza-ascensor-patio/177187725/d?from=list,285.000 €,,75 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Calle de L'alosa, 35, L'Aragai",1ª Planta,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19873208/177276372?from=list,325.000 €,,108 m²,,,
,1 hab.,re-CardPackBasic-info,2 baños,,"Piso en venta en Carrer de la Unió, La Geltrú - Sant Jordi",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-parking-se-aceptan-mascotas-piscina/177237891/d?from=list,199.000 €,,41 m²,,,
,4 habs.,re-CardPackBasic-info,3 baños,,"Casa o chalet en venta en Avinguda de la Torre del Vallès, L'Aragai",,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-jardin-piscina/176415613/d?from=list,340.000 €,,198 m²,,Piscina,
,4 habs.,re-CardPackBasic-info,2 baños,,"Piso en venta en Carrer del Carlets, Barri del Mar",4ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/163707910/d?from=list,222.000 €,,99 m²,,,
,3 habs.,re-CardPackBasic-info,2 baños,,"Ático en venta en Del Terme, Santa Maria",,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-trastero-zona-comunitaria-piscina/176743579/d?from=list,255.000 €,,80 m²,,Piscina,
,3 habs.,re-CardPackBasic-info,1 baño,,"Piso en venta en Carrer de Les Sogues, La Geltrú - Sant Jordi",Bajos,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-trastero-ascensor-parking/177312980/d?from=list,209.000 €,,77 m²,,,
